sens_id,timestamp,batt,temp,x_peak,y_peak,z_peak,x_rms,y_rms,z_rms
0x61ea,4/27/2020 0:09,3.612,40.27153808,4.75265,4.88864,7.52555,1.74161,1.93876,1.74161
0x61ea,4/27/2020 1:10,3.636,40.50589162,3.62865,5.10099,7.983,1.56479,2.3062,1.56479
0x61ea,4/27/2020 2:11,3.624,40.97287197,6.82392,5.69124,7.79776,3.33385,2.28825,3.33385
0x61ea,4/27/2020 3:11,3.624,39.80103868,5.05933,5.35918,4.68873,2.49132,2.22103,2.49132
0x61ea,4/27/2020 4:12,3.624,39.80103868,3.78163,3.22418,12.03521,1.34498,1.1071,1.34498
0x61ea,4/27/2020 5:12,3.612,40.03659155,6.94464,3.19844,6.99539,3.57806,1.27053,3.57806
0x61ea,4/27/2020 6:12,3.612,40.03659155,5.99319,4.37715,7.38784,2.65993,1.95161,2.65993
0x61ea,4/27/2020 7:13,3.624,40.03659155,4.81454,4.7924,5.85762,1.24431,1.82262,1.24431
0x61ea,4/27/2020 8:13,3.612,40.50589162,6.97145,3.44742,7.53824,3.60658,1.0025,3.60658
0x61ea,4/27/2020 9:13,3.612,41.20552442,3.42701,2.83048,13.08129,1.28978,1.09192,1.28978
0x61ea,4/27/2020 10:14,3.624,41.43763517,4.78665,3.9303,9.19229,1.50813,1.54138,1.50813
0x61ea,4/27/2020 11:14,3.612,42.36090519,3.69305,4.72752,5.83907,1.46682,2.32968,1.46682
0x61ea,4/27/2020 12:15,3.612,43.73157746,3.89565,5.74092,5.24894,1.46203,2.7644,1.46203
0x61ea,4/27/2020 13:15,3.624,43.27646355,4.60404,4.35494,7.27502,2.15909,1.65517,2.15909
0x61ea,4/27/2020 14:16,3.624,42.59048893,4.42946,5.58913,8.31858,2.01698,2.42405,2.01698
0x61ea,4/27/2020 15:16,3.624,42.13083966,5.64964,6.28101,5.26749,2.6855,2.69142,2.6855
0x61ea,4/27/2020 16:17,3.624,41.43763517,3.69939,7.57236,6.89317,1.57716,3.20189,1.57716
0x61ea,4/27/2020 17:17,3.612,40.50589162,5.0865,7.92213,6.45302,1.72428,3.7543,1.72428
0x61ea,4/27/2020 18:17,3.612,40.73966527,6.438,8.83306,8.82684,3.17996,4.17678,3.17996
0x61ea,4/27/2020 19:19,3.624,40.73966527,3.74608,7.2573,6.24845,1.0842,3.40202,1.0842
0x61ea,4/27/2020 20:19,3.612,40.97287197,3.13386,5.25492,5.20764,1.05923,1.77071,1.05923
0x61ea,4/27/2020 21:19,3.612,40.50589162,2.549,9.64847,6.88048,1.02818,4.76151,1.02818
0x61ea,4/27/2020 22:20,3.612,40.27153808,8.12897,7.31332,9.10419,3.83663,3.75488,3.83663
0x61ea,4/27/2020 23:20,3.624,40.50589162,6.55806,5.6755,7.09672,2.70492,2.19657,2.70492
0x61ea,4/28/2020 0:21,3.612,40.03659155,3.26033,4.17617,8.18721,1.30812,1.39801,1.30812
0x61ea,4/28/2020 1:21,3.612,40.50589162,4.84195,8.04937,6.13545,1.8173,4.29033,1.8173
0x61ea,4/28/2020 2:21,3.612,40.27153808,4.36667,4.90276,8.33809,2.03378,1.6774,2.03378
0x61ea,4/28/2020 3:22,3.624,40.03659155,4.7979,2.85071,8.71426,1.61621,0.95965,1.61621
0x61ea,4/28/2020 4:23,3.612,39.80103868,5.94094,2.98585,5.90168,2.19758,1.11664,2.19758
0x61ea,4/28/2020 5:23,3.612,40.27153808,6.12923,4.00332,7.57284,2.53822,1.53239,2.53822
0x61ea,4/28/2020 6:23,3.624,40.73966527,6.28335,5.29107,9.88889,2.55891,1.72437,2.55891
0x61ea,4/28/2020 7:24,3.624,40.73966527,4.06365,6.22451,5.09823,1.07513,2.95264,1.07513
0x61ea,4/28/2020 8:24,3.612,40.50589162,4.97865,4.98236,6.26413,1.56151,1.76742,1.56151
0x61ea,4/28/2020 9:25,3.612,41.90028072,4.59345,5.13845,5.8678,1.74291,1.56903,1.74291
0x61ea,4/28/2020 10:26,3.612,41.66921655,5.24894,2.80007,7.70882,2.2599,1.04672,2.2599
0x61ea,4/28/2020 11:27,3.612,42.13083966,6.26521,5.20333,8.33414,2.95054,1.89252,2.95054
0x61ea,4/28/2020 12:27,3.624,42.13083966,7.61306,6.31608,8.50173,3.5585,2.53965,3.5585
0x61ea,4/28/2020 13:28,3.624,42.13083966,4.2426,4.32855,6.86995,1.53149,1.64907,1.53149
0x61ea,4/28/2020 14:28,3.612,41.66921655,3.38135,3.8963,8.01813,1.1979,1.56435,1.1979
0x61ea,4/28/2020 15:28,3.612,41.43763517,5.0631,3.88601,7.7555,2.14739,1.27971,2.14739
0x61ea,4/28/2020 16:29,3.648,42.59048893,4.36374,6.67142,10.02302,1.90574,2.39336,1.90574
0x61ea,4/28/2020 17:29,3.612,42.36090519,3.91522,6.0209,7.13616,1.54517,2.4534,1.54517
0x61ea,4/28/2020 18:30,3.612,43.27646355,4.22369,4.06838,6.33667,1.89755,1.25158,1.89755
0x61ea,4/28/2020 19:30,3.612,43.04825687,4.60722,7.93482,6.84098,1.87341,4.02563,1.87341
0x61ea,4/28/2020 20:30,3.612,43.04825687,4.88014,6.01803,6.89628,2.33913,2.4734,2.33913
0x61ea,4/28/2020 21:31,3.624,42.13083966,4.67628,3.89331,9.38411,1.69565,1.55306,1.69565
0x61ea,4/28/2020 22:31,3.624,42.59048893,4.71423,5.02079,8.44211,2.13743,2.06495,2.13743
0x61ea,4/28/2020 23:32,3.612,41.66921655,4.58507,6.01324,5.3128,1.52399,2.16489,1.52399
0x61ea,4/29/2020 0:32,3.636,41.66921655,2.61364,4.70394,6.60056,0.91876,1.94721,0.91876
0x61ea,4/29/2020 1:33,3.612,41.43763517,2.74836,5.99109,6.35666,1.22371,2.13961,1.22371
0x61ea,4/29/2020 2:33,3.624,41.66921655,3.41594,6.7512,5.43065,1.3978,2.81057,1.3978
0x61ea,4/29/2020 3:33,3.624,41.43763517,2.64602,3.39978,6.67675,1.0136,1.07617,1.0136
0x61ea,4/29/2020 4:34,3.612,41.66921655,4.06927,3.63895,4.90683,1.56911,1.28287,1.56911
0x61ea,4/29/2020 5:34,3.612,41.66921655,4.27037,4.91976,7.89418,2.10055,1.78547,2.10055
0x61ea,4/29/2020 6:34,3.612,41.90028072,3.83023,5.22877,6.05256,1.74334,2.70274,1.74334
0x61ea,4/29/2020 7:35,3.624,42.81960239,3.96525,4.86817,5.58452,1.42803,2.32041,1.42803
0x61ea,4/29/2020 8:35,3.624,42.13083966,8.98664,3.81347,0.44487,3.1898,1.34893,3.1898
0x61ea,4/29/2020 9:36,3.636,39.0906054,15.40896,2.97268,0.7224,8.59811,1.29368,8.59811
0x61ea,4/29/2020 10:36,3.624,35.44075653,11.24829,1.10341,0.17907,5.23835,0.46984,5.23835
0x61ea,4/29/2020 11:36,3.624,31.84949478,6.02395,2.96861,3.11172,3.12226,0.97546,3.12226
0x61ea,4/29/2020 12:37,3.624,38.37421342,4.28402,5.15102,9.27452,1.76509,1.91435,1.76509
0x61ea,4/29/2020 13:37,3.612,40.73966527,4.16306,4.78916,9.17708,2.01113,2.06986,2.01113
0x61ea,4/29/2020 14:38,3.612,40.03659155,9.58796,7.524,9.32198,4.50062,3.37905,4.50062
0x61ea,4/29/2020 15:38,3.624,38.61369697,5.86517,7.51921,6.55818,2.20133,2.95276,2.20133
0x61ea,4/29/2020 16:38,3.612,40.50589162,4.24224,6.73636,5.96416,1.96162,2.71805,1.96162
0x61ea,4/29/2020 17:39,3.612,42.13083966,4.85781,5.31639,4.9814,1.89781,2.125,1.89781
0x61ea,4/29/2020 18:39,3.636,42.13083966,3.29845,4.05455,4.81586,1.49218,1.69749,1.49218
